Song Name,Song name (in Japanese/Special Characters),Artist Name,Artist Credit,Genre,Lowest BPM,Highest BPM,Game Origin,Version,Removed ?,Licensed ?,Cover ?,SP-Beginner,SPB NC,SP-Normal,SPN NC,SP-Hyper,SPH NC,SP-Another,SPA NC,SP-Leggendaria,SPL NC,DP-Normal,DPN NC,DP-Hyper,DPH NC,DP-Another,DPA NC,DP-Leggendaria,DPL NC
Kocchi wo muiteyo,こっちを向いてよ,vivi,vivi,Soul,128.00,128.00,IIDX,6th style,No,No,No,0,0,5,438,6,667,7,703,0,0,6,625,9,767,11,1127,0,0
Frozen Ray (original mix),n/a,dj TAKA,Takayuki Ishikawa,Trance,156.00,156.00,KBM,6th style,No,No,No,0,0,6,669,9,897,9,909,0,0,5,428,9,839,9,937,0,0
route 80s,n/a,sampling masters MEGA,Shinji Hosoe,Noisy,122.00,122.00,IIDX,6th style,No,No,No,0,0,6,457,8,614,9,766,0,0,7,562,11,765,12,900,0,0
Take It Easy,n/a,Aya,Aya Sakuma,Instrumental,205.00,205.00,IIDX,6th style,No,No,No,0,0,7,760,10,1229,11,1282,0,0,6,746,11,1356,0,0,0,0
Denjin Jaegar no Theme(Theme of DENJIN J),電人イェーガーのテーマ(Theme of DENJIN J),L.E.D.,Toshiyuki Kakuta,Nu-NRG,155.00,155.00,IIDX CS,6th style,Yes,No,No,0,0,5,563,7,796,0,0,0,0,8,700,10,835,0,0,0,0
Burning Up For You,n/a,SARA,"Gelmetti, Glardy, Cremonini, Varola, Sara Righetto, Newfield, Sinclaire",Super Eurobeat,156.00,156.00,IIDX,7th style,Yes,Yes,No,0,0,2,208,4,421,0,0,0,0,4,521,5,600,0,0,0,0
Heartbeat,n/a,Nathalie,"Foglia, Leonardi, Newfield, SInclaire",Super Eurobeat,155.00,155.00,IIDX,7th style,Yes,Yes,No,0,0,5,494,8,802,0,0,0,0,4,494,7,807,0,0,0,0
Love Generation,n/a,Suzy Lazy,Leonardi,Super Eurobeat,152.00,152.00,IIDX,7th style,Yes,Yes,No,0,0,5,500,7,743,0,0,0,0,5,576,7,735,0,0,0,0
Never Look Back,n/a,DuMonde,"Jurgen Mutschall, Dominik de Leon",Trance,140.00,140.00,IIDX,7th style,Yes,Yes,No,0,0,5,527,7,714,0,0,0,0,6,570,7,713,0,0,0,0
Solid Gold,n/a,Dusty,"S. Castagna, E. Somenzi, C. Codenotti",Super Eurobeat,158.00,158.00,IIDX,7th style,Yes,Yes,No,0,0,5,605,6,780,0,0,0,0,5,616,6,767,0,0,0,0
The Beauty of Silence,n/a,Svenson & Gielen,"Sven Maes, Johan Gielen, Christel Ferket",Trance,140.00,140.00,IIDX,7th style,Yes,Yes,No,1,323,5,442,6,642,0,0,0,0,4,442,6,642,0,0,0,0
Remember Me,n/a,Leslie Parrish,"Foglia, Moroni, Burns",Super Eurobeat,152.00,152.00,IIDX,7th style,Yes,Yes,No,1,195,5,460,7,793,0,0,0,0,4,458,7,784,0,0,0,0
The Sound of Goodbye,n/a,Armin van Buuren Presents: Perpetuous Dreamer,"Armin van Buuren, A. Broekhuyse, E. Moore, Elles De Graaf",Trance,140.00,140.00,IIDX,7th style,Yes,Yes,No,0,0,4,409,7,554,0,0,0,0,4,477,7,632,0,0,0,0
2002,n/a,tiger YAMATO,Reo Nagumo,Rave,132.00,132.00,IIDX,7th style,Yes,No,No,0,0,4,423,5,649,7,746,0,0,4,423,5,653,0,0,0,0
9 o'clocks,n/a,SYMPHONIC DEFOGGERS,Yasushi Korubane,Fake Jazz,95.00,95.00,IIDX,7th style,Yes,No,No,0,0,4,409,7,554,0,0,0,0,5,477,7,632,0,0,0,0
A,n/a,D.J. Amuro,Takayuki Ishikawa,Renaissance,93.00,191.00,IIDX,7th style,No,No,No,0,0,6,666,10,1111,12,1260,0,0,8,613,11,1119,12,1343,0,0
AVE DE RAPINA,n/a,Shawn the Horny Master,Shoichiro Hirata,Alternative House,125.00,125.00,IIDX,7th style,No,No,No,0,0,6,713,8,882,9,934,0,0,8,948,10,1113,0,0,0,0
Bad Routine,n/a,D.J.Spugna,Shoichiro Hirata,Filter House,130.00,130.00,IIDX,7th style,No,No,No,0,0,5,522,7,716,9,964,0,0,6,566,7,716,9,1042,0,0
BRING HER DOWN,n/a,AKIRA YAMAOKA,Akira Yamaoka,Tribal Bass,132.00,132.00,IIDX,7th style,Yes,No,No,0,0,5,533,7,745,9,900,0,0,7,751,10,1010,0,0,0,0
Burning Heat! (Full Option Mix),n/a,Mr. T with Motoaki.F,"Tomoyuki Uchida, Motoaki Furukawa",12Beat,166.00,166.00,IIDX,7th style,No,No,No,0,0,4,361,5,494,7,755,0,0,4,359,5,496,9,789,0,0
Cheer Train,n/a,Fuzita Blender,Takeshi Fujita,Big Beat,120.00,120.00,IIDX,7th style,No,No,No,0,0,5,470,6,623,9,880,0,0,4,468,6,623,12,1307,0,0
CLOUDY MUSIC,n/a,SLAKE,Takehiko Fujii,Drum'N'Bass,190.00,190.00,IIDX,7th style,Yes,No,No,0,0,5,422,7,620,0,0,0,0,5,422,8,619,0,0,0,0
D2R,n/a,NAOKI,"Naoki Maeda, Londell ""Taz"" Hicks, Andrea L. Hopkins",Hyper Rock Beat,160.00,160.00,"IIDX, DDR",7th style,No,No,No,0,0,5,494,6,671,8,823,0,0,5,525,6,665,0,0,0,0
DESTINY,n/a,NAOKI feat. PAULA TERRY,"Naoki Maeda, Paula Terry",Hyper Eurobeat,155.00,155.00,"IIDX, DDR",7th style,No,No,No,0,0,5,546,6,700,8,925,0,0,4,575,6,700,0,0,0,0
E.V  CAFE,n/a,reo nagumo feat. hajime.y,"Reo Nagumo, Shirou Matsui, hajime.y",Soul,125.00,125.00,IIDX,7th style,Yes,No,No,0,0,4,425,5,611,0,0,0,0,4,423,5,611,0,0,0,0
foreplay,n/a,Osamu Kubota,Osamu Kubota,Progressive Jazz,140.00,140.00,IIDX,7th style,No,No,No,0,0,4,357,8,631,8,684,0,0,5,361,9,630,11,979,0,0
General Relativity,n/a,SYMPHONIC DEFOGGERS,Yasushi Korubane,UK Garage/2-Step,142.00,142.00,IIDX,7th style,Yes,No,No,0,0,3,416,5,527,0,0,0,0,6,598,7,767,0,0,0,0
Glorious Days,n/a,Noria,"Hiroki Koga, Takayuki Ishikawa, Noria Shiraishi",Hip Hop & Soul,40.00,83.00,IIDX,7th style,No,No,No,0,0,3,262,5,411,6,463,0,0,6,395,7,461,0,0,0,0
Gravity,n/a,TaQ,Taku Sakakibara,Big Beat,125.00,125.00,IIDX,7th style,Yes,No,No,0,0,5,628,7,820,0,0,0,0,8,785,10,1013,0,0,0,0
Happy Wedding,n/a,ASKA,"Takayuki Ishikawa, ASKA",House,126.00,126.00,IIDX,7th style,No,No,No,0,0,6,620,7,872,8,940,0,0,6,610,8,899,10,1061,0,0
i feel...,n/a,AKIRA YAMAOKA,Akira Yamaoka,Trance,141.00,141.00,IIDX,7th style,Yes,No,No,0,0,4,454,5,556,7,626,0,0,4,527,5,556,0,0,0,0
Let the Snow Paint Me,n/a,Sana,"Hiroshi Takeyasu, Scott Dolph, Sanae Shintani, Katsuhiko Suzuki",Ambient Pop,130.00,130.00,IIDX,7th style,No,No,No,0,0,4,431,6,537,7,624,0,0,6,485,7,559,0,0,0,0
Love Me Do,n/a,AKIRA YAMAOKA,"Akira Yamaoka, Riewo",New Wave,167.00,167.00,IIDX,7th style,No,No,No,0,0,5,571,7,857,9,1058,0,0,5,577,7,899,0,0,0,0
Marmalade Reverie,n/a,Orange Lounge,"Tomosuke Funaki, Shizue Tokui",Yeye,170.00,170.00,IIDX,7th style,Yes,No,No,0,0,4,436,5,504,7,638,0,0,6,580,7,704,9,921,0,0
more deep (ver.2.1.),n/a,Togo project feat. Sana,"Hiroyuki Togo, Sanae Shintani, Scott Dolph, Yoichi Hayashi, Kenji Suzuki",2Step,133.00,133.00,IIDX CS,7th style,Yes,No,No,0,0,3,370,5,557,0,0,0,0,4,409,6,561,0,0,0,0
New York,n/a,Fuzita Blender,Takeshi Fujita,Library Beats,136.00,136.00,IIDX,7th style,Yes,No,No,0,0,3,338,4,388,0,0,0,0,4,453,5,657,0,0,0,0
Secret Tale,n/a,dj nagureo feat. asuka.m,"Reo Nagumo, Asuka M.",Soft Rock,158.00,158.00,IIDX,7th style,Yes,No,No,0,0,3,396,5,572,7,750,0,0,4,422,5,580,0,0,0,0
Somebody Like You,n/a,good-cool,"Tatsuya Furukawa, Miki Masuda",Pops,125.00,125.00,IIDX,7th style,Yes,No,No,0,0,5,453,7,678,0,0,0,0,5,560,6,609,0,0,0,0
Spica,n/a,D.JW,Jun Wakita,House,128.00,128.00,IIDX,7th style,No,No,No,0,0,4,328,9,772,11,1167,0,0,3,327,9,782,12,1203,0,0
Spooky,n/a,good-cool,Tatsuya Furukawa,Hard House,140.00,455.00,IIDX,7th style,Yes,No,No,0,0,5,561,6,709,8,833,0,0,8,753,9,909,0,0,0,0
stoic,n/a,TaQ,Taku Sakakibara,Techno,155.00,155.00,IIDX,7th style,No,No,No,0,0,8,874,10,1250,11,1302,0,0,8,874,10,1126,12,1497,0,0
Tomorrow Perfume,n/a,dj TAKA,Takayuki Ishikawa,Trance,144.00,144.00,IIDX,7th style,No,No,No,0,0,6,685,9,1000,9,1085,0,0,6,729,10,1212,11,1311,0,0
traces,n/a,TaQ,Taku Sakakibara,Trance,152.00,152.00,IIDX,7th style,No,No,No,0,0,6,778,9,982,10,1083,0,0,7,762,9,901,10,1071,0,0
ZERO-ONE,n/a,Mr. T,Tomoyuki Uchida,Electroshock,160.00,160.00,IIDX,7th style,No,No,No,0,0,5,556,9,874,10,1132,11,1448,5,556,8,874,10,1169,11,1458
entrance,n/a,Kobo Project with Masa,Shuichi Kobori,Techno,180.00,180.00,IIDX CS,7th style,Yes,No,No,0,0,5,480,8,740,9,845,0,0,6,648,8,778,10,1150,0,0
Last Message,n/a,good-cool feat. Meg,"Tatsuya Furukawa, Meg",Eurobeat,155.00,155.00,IIDX,7th style,No,No,No,0,0,5,513,8,682,9,819,0,0,6,675,10,748,11,1111,0,0
MAX 300,n/a,Ω,Naoki Maeda,Hardcore Techno,12.00,300.00,DDR,7th style,No,No,No,0,0,7,570,10,982,12,1429,0,0,7,566,10,982,12,1496,0,0
Kakumei,革命,dj TAKA with NAOKI,"Takayuki Ishikawa, Naoki Maeda, Frédéric Chopin",Orchestral,83.00,148.00,"IIDX, DDR",7th style,No,No,No,0,0,6,392,10,1004,10,1183,0,0,7,702,12,1209,12,1401,0,0
abstract,n/a,TaQ,Taku Sakakibara,Big Beat,125.00,125.00,IIDX,8th style,No,No,No,0,0,6,659,9,831,9,960,0,0,7,662,9,950,0,0,0,0
airflow,n/a,Mr. T,Tomoyuki Uchida,Instrumental,40.00,148.00,IIDX,8th style,No,No,No,0,0,3,295,5,402,7,721,0,0,3,293,6,402,7,721,0,0
ALIEN WORLD,n/a,PINK PONG,Yuuki Kuromitsu,Psychedelic Trance,145.00,145.00,IIDX,8th style,Yes,No,No,0,0,5,473,6,582,7,722,0,0,4,528,5,616,7,790,0,0
Attitude,n/a,Y&Co.,Tetsuya Tamura,Trance,145.00,145.00,IIDX,8th style,No,No,No,0,0,5,527,8,721,9,881,0,0,5,578,7,707,9,881,0,0
bit mania,n/a,AKIRA YAMAOKA,Akira Yamaoka,テクノ歌謡 (TECHNO KAYO),148.00,148.00,IIDX,8th style,No,No,No,0,0,4,458,5,643,8,934,0,0,5,536,6,643,0,0,0,0
Blame,n/a,good-cool feat. Jeff Coote,"Tatsuya Furukawa, Jeff Coote",Eurobeat,155.00,155.00,IIDX,8th style,No,No,No,0,0,6,611,7,796,11,980,0,0,6,614,7,745,10,1105,0,0
Blown My Heart Away,n/a,good-cool feat. Jeff Coote,"Tatsuya Furukawa, Jeff Coote",80's Eurobeat,124.00,124.00,IIDX,8th style,Yes,No,No,0,0,4,422,5,572,7,824,0,0,5,602,7,695,0,0,0,0
Colors -Y&Co. Eurobeat Remix-,n/a,dj TAKA (remixed by 横田商会),"Takayuki Ishikawa, Akira Yokota, Chiyoko McNair",Eurobeat,155.00,155.00,IIDX,8th style,No,No,No,0,0,5,585,9,1029,10,1100,0,0,6,663,10,1068,10,1100,0,0
DANCER,n/a,DE VOL,Akira Yamaoka,Nu Skool,145.00,149.00,IIDX,8th style,No,No,No,0,0,4,444,5,522,7,712,0,0,4,547,5,634,8,845,0,0
Drivin',n/a,NAOKI feat. PAULA TERRY,"Naoki Maeda, Paula Terry",Hyper Eurobeat,155.00,155.00,IIDX,8th style,Yes,No,No,0,0,4,465,7,663,10,897,0,0,4,482,6,650,9,799,0,0
dual control,n/a,Mr. T,Tomoyuki Uchida,Garage House,131.00,140.00,IIDX,8th style,No,No,No,0,0,5,403,7,763,9,961,0,0,4,403,8,756,9,854,0,0
FLUTE MAN,n/a,SPARKER,Takehiko Fujii,Deep House,130.00,130.00,IIDX,8th style,No,No,No,0,0,4,299,7,765,8,553,0,0,5,376,7,472,9,553,0,0
Foundation of our love,n/a,dj TAKA feat. ASAKO,"Takayuki Ishikawa, Kaori Nishina",Trance,140.00,140.00,pop'n,8th style,Yes,No,No,0,0,2,232,6,672,7,817,0,0,2,232,9,781,10,816,0,0
FUNKY BINGO PARADISE,n/a,SAWASAKI YOSHIHIRO,Sawasaki Yoshihiro,Electro,133.00,133.00,IIDX,8th style,Yes,No,No,0,0,5,457,6,748,0,0,0,0,5,594,6,767,0,0,0,0
Giudecca,n/a,D.J.SETUP,"Takayuki Ishikawa, Taku Sakakibara",Psychedelic Techno,155.00,155.00,IIDX,8th style,No,No,No,0,0,4,470,9,1016,11,1381,0,0,5,600,10,1129,11,1392,0,0
Halfway of promise,n/a,Yu Takami feat. Shihori Nakane,"Yu Takami, Takaaki Kondoh, Shihori Nakae",Girl Rock,140.00,140.00,IIDX,8th style,No,No,No,0,0,4,481,8,781,11,940,0,0,5,638,8,779,10,1157,0,0
I.C.F.5800,n/a,Reo Nagumo feat. Mayumi Shizawa,"Reo Nagumo, Mayumi Shizawa",Electro,172.00,172.00,IIDX,8th style,Yes,No,No,0,0,4,513,7,831,0,0,0,0,5,624,6,805,0,0,0,0
jelly kiss,n/a,Togo project feat. Sana,"Hiroyuki Togo, Sanae Shintani",A.O.R.,135.00,135.00,IIDX CS,8th style,No,No,No,0,0,4,373,5,552,0,0,0,0,5,503,7,682,0,0,0,0
LAB,n/a,RAM,Kouichi Yamazaki,Rave,180.00,180.00,IIDX,8th style,No,No,No,0,0,5,534,9,1029,10,1075,0,0,5,547,10,1014,11,1255,0,0
LOVE IS ORANGE,n/a,Orange Lounge,"Tomosuke Funaki, Shizue Tokui",Hard Chanson,180.00,180.00,IIDX,8th style,No,No,No,0,0,4,399,6,519,8,903,10,1059,4,456,5,570,9,1034,11,1243
Luv 2 Feel Your Body,n/a,Shoichiro Hirata,Shoichiro Hirata,2 Step,134.00,134.00,IIDX,8th style,No,No,No,0,0,4,437,6,542,9,839,0,0,6,552,9,703,10,945,0,0
memories,n/a,TAKA,Takayuki Ishikawa,Beat Rock,188.00,188.00,IIDX,8th style,No,No,No,0,0,5,578,9,1056,9,1157,0,0,5,578,10,1122,11,1274,0,0
Monkey Dance,n/a,Y&Co.,"Tetsuya Tamura, AH",Eurobeat,155.00,155.00,IIDX,8th style,No,No,No,0,0,4,413,7,690,9,997,0,0,5,554,6,689,9,955,0,0
murmur twins,n/a,yu_tokiwa.djw,"Jun Wakita, Yu Tokiwa",Cuddle Core,174.00,174.00,IIDX,8th style,No,No,No,0,0,5,567,9,854,11,1207,0,0,5,589,10,924,12,1188,0,0
MUSIC TO YOUR HEAD,n/a,SLAKE,Takehiko Fujii,Techno,144.00,144.00,IIDX,8th style,No,No,No,0,0,4,415,7,743,9,849,0,0,8,628,8,769,9,849,0,0
OUTER LIMITS,n/a,L.E.D.-G,Toshiyuki Kakuta,Hardcore Breakbeats,171.00,171.00,IIDX CS,8th style,Yes,No,No,0,0,3,334,6,670,0,0,0,0,4,442,8,572,0,0,0,0
PLEASE DON'T GO,n/a,ASLETICS,Isao Saito,Disco,135.00,135.00,IIDX,8th style,No,No,No,0,0,5,505,7,715,12,1251,0,0,4,527,9,798,10,1188,0,0
rainbow flyer,n/a,dj TAKA,Takayuki Ishikawa,Trance,148.00,148.00,IIDX,8th style,No,No,No,0,0,5,422,9,859,11,1081,0,0,4,424,10,931,11,1167,0,0
Red Nikita,n/a,Osamu Kubota,Osamu Kubota,Latin Swing,140.00,140.00,IIDX,8th style,Yes,No,No,0,0,4,350,8,684,9,739,0,0,3,350,8,673,10,820,0,0
Small clone,n/a,Yu Takami,Yu Takami,Jazz Funk,145.00,145.00,IIDX,8th style,Yes,No,No,0,0,3,369,6,587,0,0,0,0,5,498,7,622,0,0,0,0
Smoke,n/a,Aya,Aya Sakuma,Nu-Fusion,160.00,160.00,IIDX,8th style,Yes,No,No,0,0,4,383,7,713,0,0,0,0,5,521,7,713,0,0,0,0
SPEED TRANCE MACH 3,n/a,SAWASAKI YOSHIHIRO,Sawasaki Yoshihiro,Techno,140.00,140.00,IIDX,8th style,Yes,No,No,0,0,3,247,7,721,0,0,0,0,6,552,7,747,0,0,0,0
STAR DREAM,n/a,PINK PONG,Yuuki Kuromitsu,Trance,148.00,148.00,IIDX,8th style,Yes,No,No,0,0,5,396,7,677,9,725,0,0,7,592,8,731,0,0,0,0
Stick Around,n/a,Megu with Scotty D.,"Shuichi Kobori, Scott Dolph, Megumi Oka",2Step,134.00,134.00,IIDX CS,8th style,Yes,No,No,0,0,2,263,3,296,0,0,0,0,3,327,5,441,0,0,0,0
symbolic,n/a,TaQ,Taku Sakakibara,Techno,155.00,155.00,IIDX,8th style,No,No,No,0,0,6,734,9,952,10,1138,0,0,8,936,10,1152,0,0,0,0
thunder,n/a,Lion MUSASHI,"Takayuki Ishikawa, Donyale Renee, mari",House,135.00,135.00,IIDX,8th style,No,No,No,0,0,6,609,8,817,9,959,0,0,5,608,9,944,11,1126,0,0
TRIBAL MASTER,n/a,NAPAKICK,Masayuki Takahashi,Rocket Beats,130.00,130.00,IIDX,8th style,Yes,No,No,0,0,4,464,6,643,0,0,0,0,5,478,6,642,0,0,0,0
V35,n/a,tiger YAMATO,Reo Nagumo,Trance,148.00,148.00,IIDX,8th style,Yes,No,No,0,0,4,514,6,746,8,1000,0,0,5,512,6,744,10,1095,0,0
WAR GAME,n/a,ASLETICS,Isao Saito,Hip Hop,93.00,93.00,IIDX,8th style,No,No,No,0,0,4,488,8,789,10,1077,0,0,4,496,7,820,10,1044,0,0
World Wide Love,n/a,MTO,Osamu Migitera,Pops,122.00,122.00,IIDX,8th style,No,No,No,0,0,3,353,5,526,0,0,0,0,4,454,5,560,0,0,0,0
Aoi Shoudou,蒼い衝動,NAOKI feat. YUKI,"Naoki Maeda, Miyuke Kunitake, Junko Karashima",J-Trance,145.00,145.00,IIDX,8th style,No,No,No,0,0,5,468,7,694,8,803,0,0,5,524,6,685,9,795,0,0
Yoru no sunglasses,夜のサングラス,School (good-cool feat. すわひでお),"Tatsuya Furukawa, Hideo Suwa",Metal House,125.00,125.00,IIDX,8th style,Yes,No,No,0,0,5,543,7,666,8,968,0,0,6,645,8,906,0,0,0,0
ALL RIGHT,n/a,RAM,Kouichi Yamazaki,Drum'N'Bass,180.00,180.00,IIDX,8th style,No,No,No,0,0,4,446,8,658,9,815,0,0,7,501,8,720,10,860,0,0
CELEBRATE NITE,n/a,N.M.R.,Naoki Maeda,Euro Groove,144.00,144.00,DDR,8th style,No,No,No,0,0,5,471,6,591,8,714,0,0,5,471,7,632,8,731,0,0
dissolve,n/a,kobo,Shuichi Kobori,Trance,140.00,140.00,IIDX CS,8th style,No,No,No,0,0,5,490,7,658,8,784,0,0,5,576,9,761,0,0,0,0
Hormiga obrera,n/a,Shawn the Horny Master,Shoichiro Hirata,Alternative House,130.00,130.00,IIDX,8th style,Yes,No,No,0,0,5,613,7,764,8,913,0,0,6,736,8,959,9,1055,0,0
HYPER BOUNDARY GATE,n/a,L.E.D.LIGHT,Toshiyuki Kakuta,Goa Trance,152.00,152.00,IIDX CS,8th style,No,No,No,0,0,6,646,8,976,9,1115,0,0,6,636,8,955,10,1115,0,0
