Song Name,Song name (in Japanese/Special Characters),Artist Name,Artist Credit,Genre,Lowest BPM,Highest BPM,Game Origin,Version,Removed ?,Licensed ?,Cover ?,SP-Beginner,SPB NC,SP-Normal,SPN NC,SP-Hyper,SPH NC,SP-Another,SPA NC,SP-Leggendaria,SPL NC,DP-Normal,DPN NC,DP-Hyper,DPH NC,DP-Another,DPA NC,DP-Leggendaria,DPL NC
been so long,n/a,m-flo,"Taku Takahashi, Verbal, Lisa",Japanese Hip Hop,96.00,96.00,IIDX,1st style,Yes,Yes,No,0,0,0,0,3,210,0,0,0,0,0,0,0,0,0,0,0,0
The Rhyme Brokers,n/a,m-flo,"Taku Takahashi, Verbal, Lisa",Japanese Hip Hop,91.00,91.00,IIDX,1st style,Yes,Yes,No,0,0,0,0,4,307,*,358,0,0,0,0,4,329,*,376,0,0
"The Theme from ""Flo-Jack""",n/a,m-flo,"Taku Takahashi, Verbal, Lisa",Hip Hop,93.00,93.00,IIDX,1st style,Yes,Yes,No,0,0,0,0,1,139,0,0,0,0,0,0,1,217,0,0,0,0
You Make Me,n/a,Monday Michiru,"Shinichi Osawa, Monday Michiru Sipiagin",Jazz House,109.00,109.00,IIDX,1st style,Yes,Yes,No,0,0,0,0,2,194,0,0,0,0,0,0,4,352,0,0,0,0
22DUNK,n/a,SLAKE,Takehiko Fujii,Techno,135.00,135.00,IIDX,1st style,No,No,No,0,0,3,265,4,323,5,329,0,0,3,333,5,334,5,329,0,0
5.1.1.,n/a,dj nagureo,Reo Nagumo,Piano Ambient,101.00,101.00,IIDX,1st style,No,No,No,1,70,2,99,6,511,10,786,0,0,1,99,7,511,10,796,0,0
Be in my paradise,n/a,JJ Company,Larry Dunn,Soul Classic Ballad,63.00,63.00,IIDX,1st style,Yes,No,No,0,0,1,117,2,148,0,0,0,0,1,139,2,150,0,0,0,0
celebrate,n/a,JJ Company,Larry Dunn,Soul Classic,134.00,134.00,IIDX,1st style,Yes,No,No,0,0,4,254,5,280,5,446,0,0,4,415,5,417,5,476,0,0
diving money,n/a,QUADRA,Hiroshi Watanabe,Drum'n'Bass,150.00,150.00,IIDX,1st style,Yes,No,No,0,0,1,131,2,197,0,0,0,0,2,147,4,242,5,324,0,0
Dr. LOVE,n/a,baby weapon feat. Asuka.M,"Keiichi Ueno, Asuka M.",Dance Pop,123.00,123.00,IIDX,1st style,No,No,No,1,122,2,204,3,261,4,290,0,0,3,259,4,321,0,0,0,0
g.m.d.,n/a,DJ mazinger featuring Muhammad,"Hiroshi Watanabe, Muhammad",Hip Hop,100.00,100.00,IIDX,1st style,Yes,No,No,1,154,1,171,2,176,4,209,0,0,1,186,4,211,0,0,0,0
GAMBOL,n/a,SLAKE,Takehiko Fujii,Techno,102.00,102.00,IIDX,1st style,No,No,No,1,88,2,137,2,137,0,0,0,0,2,137,2,137,0,0,0,0
GRADIUSIC CYBER,n/a,TAKA,Takayuki Ishikawa,Digi-Rock,160.00,167.00,IIDX,1st style,No,No,No,3,372,5,442,6,508,7,609,0,0,4,409,9,556,9,631,0,0
LUV TO ME (disco mix),n/a,tiger YAMATO,Reo Nagumo,Euro Beat,154.00,154.00,IIDX,1st style,Yes,No,No,3,269,5,450,6,469,7,501,0,0,4,463,8,506,11,591,0,0
Melt in my arms,n/a,Honey P feat. Asuka.M,"Keiichi Ueno, Asuka M.",Dance Pop,118.00,118.00,IIDX,1st style,Yes,No,No,0,0,3,203,4,234,4,254,0,0,3,217,4,254,4,254,0,0
perfect free,n/a,nite system,Hiroshi Watanabe,House,130.00,130.00,IIDX,1st style,Yes,No,No,0,0,2,254,3,268,*,356,0,0,2,306,3,321,*,329,0,0
Prince on a star,n/a,SPIRITUAL RIDE,Hiroshi Takeyasu,Alternative Rock,145.00,145.00,IIDX,1st style,Yes,No,No,0,0,4,332,5,428,6,499,0,0,5,592,8,715,10,823,0,0
R3,n/a,tiger YAMATO,Reo Nagumo,Rave,157.00,157.00,IIDX,1st style,No,No,No,2,165,4,330,5,368,6,454,0,0,4,384,6,392,8,475,0,0
special energy,n/a,DJ FX,Hiroshi Watanabe,Trance Techno,140.00,140.00,IIDX,1st style,Yes,No,No,0,0,2,301,3,303,5,409,0,0,4,303,9,570,7,409,0,0
"20, November",n/a,dj nagureo,Reo Nagumo,House,130.00,130.00,BM,1st style,Yes,No,No,2,253,4,410,8,698,8,629,0,0,6,503,10,723,9,759,0,0
Beginning of life,n/a,QUADRA,Hiroshi Watanabe,Ambient,110.00,110.00,BM,1st style,Yes,No,No,0,0,1,57,2,80,3,96,0,0,1,99,2,115,0,0,0,0
Deep Clear Eyes,n/a,QUADRA,Hiroshi Watanabe,Drum'n'Bass,155.00,155.00,BM,1st style,Yes,No,No,0,0,0,0,4,276,*,247,0,0,0,0,4,307,*,247,0,0
Do you love me?,n/a,reo-nagumo,Reo Nagumo,Ballad,100.00,100.00,BM,1st style,Yes,No,No,0,0,0,0,4,155,0,0,0,0,0,0,4,252,0,0,0,0
e-motion,n/a,e.o.s.,Tomomi Ohta,Rave,145.00,145.00,BM,1st style,Yes,No,No,1,50,2,96,3,96,4,192,0,0,2,123,2,123,4,246,0,0
jam jam reggae,n/a,jam master '73,Reo Nagumo,Reggae,90.00,90.00,BM,1st style,Yes,No,No,0,0,0,0,1,60,*,139,0,0,0,0,1,76,*,141,0,0
LOVE SO GROOVY,n/a,LOVEMINTS,Hiroshi Takeyasu,Soul,141.00,141.00,BM,1st style,Yes,No,No,0,0,0,0,3,169,0,0,0,0,0,0,3,227,0,0,0,0
OVERDOSER,n/a,MIRAK,Hiroshi Takeyasu,Techno,132.00,132.00,BM,1st style,Yes,No,No,0,0,2,156,3,164,3,164,0,0,0,0,0,0,0,0,0,0
,n/a,,,,134.00,134.00,,,,,No,0,0,0,0,0,0,0,0,0,0,2,204,3,224,0,0,0,0
Salamander Beat Crush mix,n/a,nite system,Hiroshi Watanabe,Konamix,134.00,134.00,BM,1st style,Yes,No,No,0,0,2,157,3,171,*,171,0,0,2,173,3,177,0,0,0,0
ska a go go,n/a,THE BALD HEADS,Hiroshi Takeyasu,Ska,144.00,160.00,BM,1st style,Yes,No,No,0,0,0,0,5,359,*,456,0,0,0,0,5,514,*,575,0,0
into the world,n/a,QUADRA,Hiroshi Watanabe,World Groove,126.00,126.00,IIDX,1st style,Yes,No,No,0,0,0,0,3,153,0,0,0,0,0,0,3,176,0,0,0,0
patsenner,n/a,dj nagureo,Reo Nagumo,Ambient Techno,108.00,108.00,IIDX,1st style,Yes,No,No,0,0,3,352,5,393,0,0,0,0,3,398,5,407,0,0,0,0
Queen's Jamaica (astria mix),n/a,Crunky Boy featuring Muhammad,"Hiroshi Watanabe, Muhammad",Reggae,94.00,94.00,IIDX,1st style,Yes,No,No,0,0,0,0,4,220,0,0,0,0,0,0,4,232,0,0,0,0
Chotto kiitena (ZANSHIN-NA MIX),ちょっときいてな (ZANSHIN-NA MIX),Laugh & Peace,"Toshiyuki Kageyama, Kouichi Hirota",Drum'n'Bass,164.00,164.00,IIDX,substream,Yes,Yes,No,0,0,0,0,4,318,0,0,0,0,0,0,4,341,0,0,0,0
gentle stress,n/a,DJ Swan,Keiichi Ueno,Drum'n'Bass,175.00,175.00,IIDX,substream,No,No,No,2,148,2,172,4,342,9,728,0,0,3,198,5,327,8,772,0,0
Macho Gang,n/a,ANAL SPYDER,Keiichi Ueno,Tribal House,125.00,125.00,IIDX,substream,No,No,No,0,0,2,191,7,548,10,837,0,0,3,262,11,836,11,846,0,0
THE EARTH LIGHT,n/a,L.E.D. LIGHT,Toshiyuki Kakuta,Trance,145.00,145.00,IIDX,substream,No,No,No,3,236,4,398,7,530,8,581,10,725,5,456,10,718,7,581,0,0
deep in you,n/a,dj nagureo,Reo Nagumo,Dance Pop,126.00,126.00,IIDX,substream,No,No,No,0,0,4,250,4,255,5,333,0,0,3,283,4,293,7,364,0,0
GENOM SCREAMS,n/a,L.E.D. LIGHT,Toshiyuki Kakuta,Trance,150.00,150.00,BM,substream,No,No,No,1,122,3,211,6,417,9,536,0,0,3,211,6,417,9,538,0,0
NaHaNaHa vs.Gattchoon Battle,n/a,DJ Senda & Tiny-K,"Hiroyuki Togo, Mitsuo Nakano, Yasuo Watanabe",DJ Battle,124.00,163.00,BM,substream,Yes,No,No,0,0,0,0,3,190,0,0,0,0,0,0,3,222,0,0,0,0
RUGGED ASH,n/a,SYMPHONIC DODGERS,Yasushi Kurobane,Future Jazz,168.00,168.00,BM,substream,No,No,No,1,76,3,185,3,201,9,556,11,1058,3,186,4,201,9,624,12,1203
BRILLIANT 2U,n/a,NAOKI,Naoki Maeda,Euro Groove,150.00,150.00,DDR,substream,Yes,No,No,0,0,3,270,4,330,4,362,0,0,3,288,5,363,0,0,0,0
KEEP ON MOVIN',n/a,N.M.R.,Naoki Maeda,Dance Pop,132.00,132.00,DDR,substream,No,No,No,0,0,2,98,3,122,0,0,0,0,0,0,2,119,3,122,0,0
PARANOiA MAX (DIRTY MIX),n/a,190,Naoki Maeda,Jungle,190.00,190.00,DDR,substream,No,No,No,2,265,5,280,6,376,8,562,0,0,3,280,6,406,9,581,0,0
Brazilian Rhyme,n/a,Satoru Shionoya + Satoshi Tomiie,"Satoshi Tomiie, Satoru Shionoya, Harumi Tsuyuzaki",House,127.00,127.00,IIDX,2nd style,Yes,Yes,No,0,0,4,426,5,525,0,0,0,0,5,479,7,693,0,0,0,0
lovin' you,n/a,MONDAY MICHIRU,Shinichi Osawa,Jazz Drum'n'Bass,154.00,154.00,IIDX,2nd style,Yes,Yes,No,0,0,3,294,4,323,0,0,0,0,3,293,4,325,0,0,0,0
Mirrorball Satellite 2012,n/a,m-flo,"Taku Takahashi, Verbal, Lisa",Hip Hop & Soul,103.00,103.00,IIDX,2nd style,Yes,Yes,No,0,0,0,0,3,242,*,295,0,0,0,0,3,282,0,0,0,0
morning prayer,n/a,SILVA,Hirofumi Asamoto,Disco/House,124.00,124.00,IIDX,2nd style,Yes,Yes,No,0,0,0,0,2,206,0,0,0,0,0,0,2,206,0,0,0,0
Shake,n/a,double,"TAKAKO, Ryosuke Imai",Japanese R&B,98.00,98.00,IIDX,2nd style,Yes,Yes,No,0,0,0,0,2,286,*,318,0,0,0,0,2,314,*,320,0,0
S.O.S.,n/a,DR.BOMBAY,Jonny Jakobsen,Indie Euro,138.00,138.00,IIDX,2nd style,Yes,Yes,No,0,0,4,376,6,640,0,0,0,0,4,53*,6,911,0,0,0,0
Odoru! Fukujinzuke (CALCUTTA),踊る！福神漬 (CALCUTTA),DR.BOMBAY,Jonny Jakobsen,Indie Euro,138.00,138.00,IIDX,2nd style,Yes,Yes,No,0,0,4,488,5,659,5,691,0,0,4,482,5,753,0,0,0,0
.59,n/a,dj TAKA,Takayuki Ishikawa,Chill Out,123.00,134.00,IIDX,2nd style,No,No,No,2,265,4,360,6,514,7,584,0,0,4,444,6,514,7,585,0,0
Bad boy,n/a,Vivi,Keiichi Ueno,Dance Pop,94.00,94.00,IIDX,2nd style,Yes,No,No,0,0,2,249,3,331,0,0,0,0,2,275,4,337,0,0,0,0
Dancin' Into The Night,n/a,good-cool,Tatsuya Furukawa,Disco/House,139.00,139.00,IIDX,2nd style,Yes,No,No,2,121,2,216,3,235,0,0,0,0,2,224,3,237,0,0,0,0
Digital MinD(A/T Libra mix),n/a,TaQ,Taku Sakakibara,Minimal,155.00,155.00,IIDX,2nd style,No,No,No,2,218,4,374,5,542,6,573,0,0,4,374,8,597,0,0,0,0
Electro Tuned (the SubS mix),n/a,TaQ,Taku Sakakibara,Big Beat,125.00,125.00,IIDX,2nd style,No,No,No,2,168,4,390,5,483,6,537,0,0,6,469,9,569,0,0,0,0
Get on Beat,n/a,ON,Takayuki Ishikawa,Hard Bag,126.00,126.00,IIDX,2nd style,Yes,No,No,0,0,0,0,3,239,3,250,0,0,0,0,3,253,3,254,0,0
Headache,n/a,good-cool,Tatsuya Furukawa,Hard House,143.00,143.00,IIDX,2nd style,Yes,No,No,0,0,2,276,4,336,0,0,0,0,2,284,4,428,0,0,0,0
Hitch Hiker,n/a,good-cool,Tatsuya Furukawa,Warp House,136.00,136.00,IIDX,2nd style,Yes,No,No,2,198,3,329,4,414,5,469,0,0,4,372,6,469,0,0,0,0
I'm In Love Again,n/a,dj TAKA,Takayuki Ishikawa,Speed Garage,134.00,134.00,IIDX,2nd style,Yes,No,No,0,0,4,370,5,438,0,0,0,0,4,392,5,447,0,0,0,0
Indigo Vision(full flavour hide around mix),n/a,TaQ,Taku Sakakibara,Goa Trance,154.00,154.00,IIDX,2nd style,No,No,No,2,401,3,442,5,569,8,617,0,0,5,455,8,617,0,0,0,0
I Was The One,n/a,good-cool,"Tatsuya Furukawa, Robbie Danzie",Italo House,124.00,124.00,IIDX,2nd style,No,No,No,2,216,2,272,3,326,3,348,0,0,2,270,2,270,0,0,0,0
Junglist King,n/a,Hirofumi Asamoto (ram jam world),Hirofumi Asamoto,Drum'n'Bass,169.00,169.00,IIDX,2nd style,Yes,No,No,0,0,0,0,3,268,0,0,0,0,0,0,3,270,0,0,0,0
LET THE BEAT HIT EM! BASS MIX,n/a,STONE BROS.,Naoki Maeda,Miami Bass,110.00,110.00,IIDX,2nd style,Yes,No,No,0,0,0,0,2,192,0,0,0,0,0,0,2,195,0,0,0,0
Panorama,n/a,Hirofumi Asamoto (ram jam world),Hirofumi Asamoto,Soul Classic,112.00,112.00,IIDX,2nd style,Yes,No,No,0,0,2,220,2,230,0,0,0,0,2,323,3,339,0,0,0,0
Second Style (Hip Hop Paradise),n/a,dj TAKA feat. DAY BREAKERS,Takayuki Ishikawa,Hip Hop,114.00,114.00,IIDX,2nd style,Yes,No,No,0,0,4,323,5,398,0,0,0,0,4,330,5,407,0,0,0,0
Shine On,n/a,Shorai,Keiichi Ueno,Soul,111.00,111.00,IIDX,2nd style,Yes,No,No,0,0,3,328,5,457,6,479,0,0,4,326,9,602,0,0,0,0
SOFT LANDING ON THE BODY,n/a,DJ SIMON,Kiyotaka Sugimoto,Spiritual,80.00,318.00,IIDX,2nd style,Yes,No,No,0,0,4,271,5,338,0,0,0,0,4,273,5,340,0,0,0,0
SP-TRIP MACHINE (for beatmania II),n/a,dj TAKA feat. DE-SIRE,"Takayuki Ishikawa, Naoki Maeda",Jungle,168.00,168.00,IIDX,2nd style,No,No,No,0,0,3,254,4,313,4,324,0,0,3,254,5,311,0,0,0,0
dong-tepo no.1,n/a,dj nagureo,Reo Nagumo,Techno,125.00,125.00,IIDX,2nd style,Yes,No,No,0,0,5,366,7,623,0,0,0,0,4,362,7,624,0,0,0,0
Junglist King (long),n/a,Hirofumi Asamoto (ram jam world),Hirofumi Asamoto,Drum'n'Bass,169.00,169.00,IIDX,2nd style,Yes,No,No,0,0,0,0,4,437,0,0,0,0,0,0,4,438,0,0,0,0
PUT YOUR FAITH IN ME (for beatmania II),n/a,dj TAKA feat. UZI-LAY,"Takayuki Ishikawa, Naoki Maeda",Jazz Funk,126.00,126.00,IIDX,2nd style,No,No,No,0,0,3,291,6,434,0,0,0,0,4,288,7,434,0,0,0,0
Almost Love,n/a,SILVA,Yasushi Kurobane,House,127.00,127.00,IIDX,3rd style,Yes,Yes,No,0,0,3,341,4,413,0,0,0,0,3,403,4,485,0,0,0,0
five fathoms (beatmania II special version),n/a,EverythingButTheGirl,"Tracey Thorn, Ben Watt",House,121.00,121.00,IIDX,3rd style,Yes,Yes,No,0,0,1,168,3,416,0,0,0,0,1,170,3,414,0,0,0,0
L.O.T. (Love Or Truth),n/a,m-flo,"Taku Takahashi, Verbal, Lisa",Hiphop&Soul,93.00,93.00,IIDX,3rd style,Yes,Yes,No,0,0,1,268,3,328,0,0,0,0,1,267,3,328,0,0,0,0
Right Now,n/a,atomic kitten,"Natasha Hamilton, Laz McClarnon, Kerry Katona",Dance Disco,127.00,127.00,IIDX,3rd style,Yes,Yes,No,0,0,3,390,4,528,4,552,0,0,3,406,4,510,4,549,0,0
S.O.S. (THE TIGER TOOK MY FAMILY),n/a,DR. JEKYLL,DR.JEKYLL,Dance Express Hi-Speed,169.00,169.00,IIDX,3rd style,Yes,Yes,No,0,0,5,633,7,954,0,0,0,0,5,831,7,968,0,0,0,0
SKIN,n/a,CHARLOTTLE,Shinichiro Murayama,R&B,101.00,101.00,IIDX,3rd style,Yes,Yes,No,0,0,2,201,3,247,0,0,0,0,2,202,3,247,0,0,0,0
TAKE ON ME,n/a,ANGELA,"Mgne Furuholmen, Morten Harket, Pal Waaktaar, Kouichi Shibata, ANGELA",Dance Express Hi-Speed,169.00,169.00,IIDX,3rd style,Yes,Yes,Yes,0,0,5,637,6,729,6,732,0,0,5,588,6,719,6,732,0,0
Artificial Impatience,n/a,SYMPHONIC DODGERS,Yasushi Kurobane,Future Jazz,163.00,163.00,IIDX,3rd style,Yes,No,No,0,0,3,218,4,309,4,333,0,0,3,218,4,331,0,0,0,0
CAN'T STOP FALLIN' IN LOVE,n/a,NAOKI,Naoki Maeda,Hyper Euro Beat,155.00,155.00,DDR,3rd style,No,No,No,0,0,4,310,8,632,0,0,0,0,4,313,7,620,0,0,0,0
Cold Pulse,n/a,Quadra with DJ FX,Hiroshi Watanabe,Techno,143.00,143.00,IIDX,3rd style,Yes,No,No,0,0,4,338,5,462,5,465,0,0,4,439,5,462,5,465,0,0
Don't Stop!,n/a,dj TAKA feat. JP Miles,"Takayuki Ishikawa, JP Miles",Happy Handbag,130.00,130.00,IIDX,3rd style,No,No,No,1,134,4,389,4,428,4,453,0,0,4,391,4,450,0,0,0,0
DYNAMITE RAVE,n/a,NAOKI,Naoki Maeda,Speed Rave,150.00,150.00,DDR,3rd style,Yes,No,No,0,0,4,345,6,598,7,614,0,0,3,342,5,589,6,604,0,0
DREAM,n/a,SHIN Murayama feat. mari saito,Shinichiro Murayama,House,117.00,117.00,IIDX,3rd style,Yes,No,No,0,0,3,422,4,489,4,597,0,0,5,525,6,620,0,0,0,0
era (nostalmix),n/a,TaQ,Taku Sakakibara,Drum'n'Bass,90.00,180.00,IIDX,3rd style,No,No,No,2,137,5,437,8,555,9,786,0,0,5,437,12,952,12,1226,0,0
Garden of Love,n/a,DJ Mazinger,Hiroshi Watanabe,Hiphop,89.00,89.00,IIDX,3rd style,Yes,No,No,0,0,2,290,3,335,0,0,0,0,3,294,4,362,0,0,0,0
Get me in your sight,n/a,SYMPHONIC DODGERS,Yasushi Kurobane,Latin House,127.00,127.00,IIDX,3rd style,Yes,No,No,0,0,3,293,5,428,0,0,0,0,2,292,4,426,0,0,0,0
Holic,n/a,TaQ,Taku Sakakibara,Hard Techno,155.00,155.00,IIDX,3rd style,No,No,No,3,324,5,395,7,624,11,880,0,0,7,680,10,875,12,1136,0,0
IS THIS LOVE?,n/a,Asuka.M,"Keiichi Ueno, Asuka M.",Dance Pop,115.00,115.00,IIDX,3rd style,Yes,No,No,1,82,3,300,4,441,5,445,0,0,4,406,5,439,0,0,0,0
LEADING CYBER,n/a,dj TAKA,Takayuki Ishikawa,Digi-Rock,150.00,150.00,IIDX,3rd style,No,No,No,3,247,4,434,6,611,7,645,0,0,4,478,6,611,6,645,0,0
Let's talk it over,n/a,SHIN Murayama feat.Argie Phine,Shinichiro Murayama,Soul,99.00,99.00,IIDX,3rd style,Yes,No,No,0,0,3,292,4,377,4,436,0,0,3,411,4,466,0,0,0,0
Make Your Move,n/a,good-cool feat. JP Miles,"Tatsuya Furukawa, JP Miles",Funk,119.00,119.00,IIDX,3rd style,Yes,No,No,2,305,3,326,4,432,4,522,0,0,3,333,5,442,5,522,0,0
never let you down,n/a,good-cool feat. JP Miles,"Tatsuya Furukawa, JP Miles",Garage House,124.00,124.00,IIDX,3rd style,Yes,No,No,0,0,4,408,5,575,5,581,0,0,4,465,6,577,0,0,0,0
Presto,n/a,Osamu Kubota,Osamu Kubota,Piano Ambient,136.00,136.00,IIDX,3rd style,No,No,No,2,173,3,273,8,498,8,508,0,0,3,274,8,508,0,0,0,0
R5,n/a,tiger YAMATO with ultrabeatbox,Reo Nagumo,Rave,180.00,180.00,IIDX,3rd style,No,No,No,3,250,5,387,8,588,11,889,0,0,5,430,8,599,11,870,0,0
REINCARNATION,n/a,dj TAKA,Takayuki Ishikawa,Trance,145.00,145.00,IIDX,3rd style,No,No,No,0,0,4,424,5,525,7,643,0,0,4,398,5,525,7,643,0,0
Schlagwerk,n/a,TaQ,Taku Sakakibara,Big Beat,125.00,125.00,IIDX,3rd style,No,No,No,2,217,4,414,6,663,8,848,0,0,4,412,11,1043,11,1090,0,0
Sense,n/a,good-cool,Tatsuya Furukawa,Rave,130.00,130.00,IIDX,3rd style,Yes,No,No,0,0,4,438,6,567,6,658,0,0,3,406,6,572,6,645,0,0
Skyscraper,n/a,good-cool,Tatsuya Furukawa,Epic House,135.00,135.00,IIDX,3rd style,No,No,No,2,247,4,372,6,610,7,629,0,0,4,413,7,628,0,0,0,0
END OF THE CENTURY,n/a,No. 9,Naoki Maeda,Dance Speed,171.00,171.00,DDR,3rd style,Yes,No,No,0,0,5,463,6,692,7,718,0,0,6,588,8,729,0,0,0,0
Beat Machine,n/a,CRUNKY BOY JR.,Hiroshi Watanabe,Big Beat,127.00,127.00,IIDX,3rd style,Yes,No,No,0,0,4,382,5,568,0,0,0,0,4,467,5,568,0,0,0,0
Tangerine Stream,n/a,dj TAKA,Takayuki Ishikawa,Ambient,84.00,84.00,IIDX,3rd style,No,No,No,1,82,2,141,3,198,0,0,0,0,2,151,3,199,0,0,0,0
THE SAFARI,n/a,Lion Musashi,Takayuki Ishikawa,World House,150.00,150.00,IIDX,3rd style,No,No,No,2,183,7,618,10,900,0,0,0,0,8,624,10,900,0,0,0,0
CONGA,n/a,good-cool feat. JP Miles,"Enrique E. Garcia, Tatsuya Furukawa, JP Miles",Latin House,122.00,122.00,IIDX,4th style,Yes,Yes,Yes,0,0,4,446,6,646,6,692,0,0,4,445,7,708,0,0,0,0
FANTASY,n/a,ULTIMATE DUB,ULTIMATE DUB,Dance Express Hi-Speed,180.00,180.00,IIDX,4th style,Yes,Yes,No,0,0,5,724,7,952,*,1196,0,0,5,630,7,1006,*,1282,0,0
Final Count Down(MTO CRY BABY STYLE),n/a,dj TAKA feat. Jasmine,"Joey Tempest, Takayuki Ishikawa, Jasmine, Osamu Migitera",Metallic Euro,164.00,164.00,IIDX,4th style,Yes,Yes,Yes,0,0,5,410,8,791,9,838,0,0,4,411,7,686,7,838,0,0
JIVE INTO THE NIGHT,n/a,GREEN OLIVES,GREEN OLIVES,Dance Express Hi-Speed,170.00,170.00,IIDX,4th style,Yes,Yes,No,2,188,5,531,8,884,10,1120,0,0,5,530,10,1117,11,1295,0,0
NEW YORK CITY BOY,n/a,GUY THOMAS,GUY THOMAS,Dance Express Hi-Speed,169.00,169.00,IIDX,4th style,Yes,Yes,No,0,0,4,369,5,643,0,0,0,0,4,300,5,643,0,0,0,0
ABSOLUTE,n/a,dj TAKA,Takayuki Ishikawa,Epic Trance,60.00,144.00,IIDX,4th style,No,No,No,3,309,6,682,8,935,10,1218,11,1412,6,728,8,934,11,1338,11,1488
CHECKING YOU OUT,n/a,good-cool feat. JP Miles,"Tatsuya Furukawa, JP Miles",Hip Hop,108.00,216.00,IIDX,4th style,No,No,No,2,193,7,339,9,481,11,700,0,0,7,339,11,482,11,703,0,0
Clione,n/a,kors k,Kosuke Saito,Dutch Trance,148.00,148.00,IIDX,4th style,No,No,No,1,126,4,264,5,479,9,811,11,1102,3,264,4,477,9,1010,11,1203
DIAMOND JEALOUSY,n/a,AKIRA YAMAOKA,Akira Yamaoka,Cyber Rock,190.00,190.00,IIDX,4th style,Yes,No,No,2,288,5,343,6,546,0,0,0,0,4,340,6,542,0,0,0,0
DXY!,n/a,TaQ,Taku Sakakibara,Techno,148.00,148.00,IIDX,4th style,No,No,No,3,471,6,651,9,968,10,1158,0,0,6,781,12,1330,12,1529,0,0
empathy,n/a,TaQ,Taku Sakakibara,Drum'n'Bass,170.00,170.00,IIDX,4th style,No,No,No,0,0,5,416,0,0,0,0,0,0,4,411,0,0,0,0,0,0
,n/a,,,,85.00,170.00,,,,,No,0,0,0,0,7,703,8,743,0,0,0,0,7,961,0,0,0,0
era (step mix),n/a,TaQ,Taku Sakakibara,Drum'n'Bass,90.00,180.00,IIDX,4th style,No,No,No,3,229,5,565,8,733,9,875,0,0,4,503,8,728,12,1226,0,0
GIRIGIRI DADDY,n/a,Shoichiro Hirata,Shoichiro Hirata,R&B,98.00,98.00,IIDX,4th style,Yes,No,No,0,0,3,338,5,526,5,950,0,0,3,311,6,546,6,740,0,0
Hitch Hiker2,n/a,good-cool,Tatsuya Furukawa,Warp House,137.00,137.00,IIDX,4th style,No,No,No,3,370,4,420,6,609,7,665,9,976,5,518,9,880,9,864,10,975
I'M FOR REAL,n/a,SLAKE feat. JP Miles,"Takehiko Fujii, JP Miles",Two Step,140.00,140.00,IIDX,4th style,Yes,No,No,2,134,3,264,4,310,4,363,0,0,3,293,4,344,0,0,0,0
LOVE WILL...,n/a,riewo,"Akira Yamaoka, Riewo",Trance,144.00,144.00,IIDX,4th style,No,No,No,2,139,4,279,4,379,7,732,0,0,4,330,6,529,8,726,0,0
LUV TO ME (UCCHIE'S EDITION),n/a,tiger YAMATO,Reo Nagumo,Euro Beat,160.00,160.00,IIDX,4th style,Yes,No,No,2,189,5,428,6,620,11,873,0,0,5,479,8,746,8,826,0,0
Mr. T (take me higher),n/a,Risky Men feat. Asuka-M,"Keiichi Ueno, Asuka M.",Dance Pop,128.00,128.00,IIDX,4th style,No,No,No,1,176,4,428,5,510,10,889,0,0,4,428,5,510,10,885,0,0
Nasty!,n/a,baby weapon feat. Asuka.M,"Keiichi Ueno, Asuka M.",Dance Pop,127.00,127.00,IIDX,4th style,Yes,No,No,0,0,3,295,4,486,9,790,0,0,5,502,9,787,0,0,0,0
Nothing Ain't Stopping Us,n/a,Shoichiro Hirata,Shoichiro Hirata,Disco,128.00,128.00,IIDX,4th style,Yes,No,No,1,156,2,196,3,256,0,0,0,0,1,247,2,257,0,0,0,0
R10K,R壱萬,tiger YAMATO,Reo Nagumo,Rave,190.00,190.00,IIDX,4th style,Yes,No,No,3,323,5,378,6,553,*,655,0,0,4,385,6,585,*,646,0,0
sanctus,n/a,Osamu Kubota,Osamu Kubota,Rock Opera,160.00,160.00,IIDX,4th style,Yes,No,No,1,203,3,223,5,334,0,0,0,0,3,258,4,359,0,0,0,0
Small Waves,n/a,dj TAKA,Takayuki Ishikawa,Club Mix,127.00,127.00,IIDX,4th style,Yes,No,No,0,0,4,411,5,573,*,585,0,0,4,547,5,584,0,0,0,0
starmine,n/a,Ryu,Ryutaro Nakahara,Happy Hardcore,182.00,182.00,IIDX,4th style,No,No,No,2,224,5,456,8,719,9,800,10,1039,5,566,8,796,12,1098,0,0
SWEET LAB,n/a,DJ SIMON,Kiyotaka Sugimoto,Lounge House,120.00,120.00,IIDX,4th style,No,No,No,1,95,3,280,6,496,10,692,0,0,6,445,10,674,12,719,0,0
Under Construction,n/a,good-cool,Tatsuya Furukawa,Big Beat,125.00,125.00,IIDX,4th style,Yes,No,No,0,0,5,417,7,507,8,582,0,0,5,417,7,569,8,754,0,0
Vienna,n/a,Osamu Kubota,Osamu Kubota,Piano Ambient,115.00,115.00,IIDX,4th style,Yes,No,No,2,286,3,315,5,432,0,0,0,0,4,315,6,432,0,0,0,0
Voltage (feat. Hidemaru),n/a,TaQ,Taku Sakakibara,Big Beat,30.00,125.00,IIDX,4th style,No,No,No,2,223,5,480,7,630,8,670,0,0,5,480,11,964,0,0,0,0
B4U,n/a,NAOKI,"Naoki Maeda, Aaron G",Speed Rave,155.00,155.00,DDR,4th style,No,No,No,3,314,5,538,9,801,10,1014,0,0,6,629,8,815,0,0,0,0
