Song Name,Artist Name,Artist Credit,Genre,Lowest BPM,Highest BPM,Game Origin,Version,Removed ?,Licensed ?,Cover ?,SP-Beginner,SPB NC,SP-Normal,SPN NC,SP-Hyper,SPH NC,SP-Another,SPA NC,SP-Leggendaria,SPL NC,DP-Normal,DPN NC,DP-Hyper,DPH NC,DP-Another,DPA NC,DP-Leggendaria,DPL NC
been so long,m-flo,"Taku Takahashi, Verbal, Lisa",Japanese Hip Hop,96,96,IIDX,1st style,Yes,Yes,No,0,0,0,0,3,210,0,0,0,0,0,0,0,0,0,0,0,0
The Rhyme Brokers,m-flo,"Taku Takahashi, Verbal, Lisa",Japanese Hip Hop,91,91,IIDX,1st style,Yes,Yes,No,0,0,0,0,4,307,*,358,0,0,0,0,4,329,*,376,0,0
"The Theme from ""Flo-Jack""",m-flo,"Taku Takahashi, Verbal, Lisa",Hip Hop,93,93,IIDX,1st style,Yes,Yes,No,0,0,0,0,1,139,0,0,0,0,0,0,1,217,0,0,0,0
You Make Me,Monday Michiru,"Shinichi Osawa, Monday Michiru Sipiagin",Jazz House,109,109,IIDX,1st style,Yes,Yes,No,0,0,0,0,2,194,0,0,0,0,0,0,4,352,0,0,0,0
22DUNK,SLAKE,Takehiko Fujii,Techno,135,135,IIDX,1st style,No,No,No,0,0,3,265,4,323,5,329,0,0,3,333,5,334,5,329,0,0
5.1.1.,dj nagureo,Reo Nagumo,Piano Ambient,101,101,IIDX,1st style,No,No,No,1,70,2,99,6,511,10,786,0,0,1,99,7,511,10,796,0,0
Be in my paradise,JJ Company,Larry Dunn,Soul Classic Ballad,63,63,IIDX,1st style,Yes,No,No,0,0,1,117,2,148,0,0,0,0,1,139,2,150,0,0,0,0
celebrate,JJ Company,Larry Dunn,Soul Classic,134,134,IIDX,1st style,Yes,No,No,0,0,4,254,5,280,5,446,0,0,4,415,5,417,5,476,0,0
diving money,QUADRA,Hiroshi Watanabe,Drum'n'Bass,150,150,IIDX,1st style,Yes,No,No,0,0,1,131,2,197,0,0,0,0,2,147,4,242,5,324,0,0
Dr. LOVE,baby weapon feat. Asuka.M,"Keiichi Ueno, Asuka M.",Dance Pop,123,123,IIDX,1st style,No,No,No,1,122,2,204,3,261,4,290,0,0,3,259,4,321,0,0,0,0
g.m.d.,DJ mazinger featuring Muhammad,"Hiroshi Watanabe, Muhammad",Hip Hop,100,100,IIDX,1st style,Yes,No,No,1,154,1,171,2,176,4,209,0,0,1,186,4,211,0,0,0,0
GAMBOL,SLAKE,Takehiko Fujii,Techno,102,102,IIDX,1st style,No,No,No,1,88,2,137,2,137,0,0,0,0,2,137,2,137,0,0,0,0
GRADIUSIC CYBER,TAKA,Takayuki Ishikawa,Digi-Rock,160,167,IIDX,1st style,No,No,No,3,372,5,442,6,508,7,609,0,0,4,409,9,556,9,631,0,0
