Song Name,Artist Name,Artist Credit,Genre,Lowest BPM,Highest BPM,Game Origin,Version,Removed ?,Licensed ?,Cover ?,SP-Beginner,SPB NC,SP-Normal,SPN NC,SP-Hyper,SPH NC,SP-Another,SPA NC,SP-Leggendaria,SPL NC,DP-Normal,DPN NC,DP-Hyper,DPH NC,DP-Another,DPA NC,DP-Leggendaria,DPL NC
STILL IN MY HEART,NAOKI,"Naoki Maeda, Paula Terry",Hyper Eurobeat,150,150,DDR,5th style,No,No,,n/a,n/a,5,517,7,705,9,971,n/a,n/a,4,516,6,705,11,1286,n/a,n/a
still my words,TaQ feat. Meg,Tatsuya Furukawa,Ambient,136,136,IIDX,5th style,No,No,,n/a,n/a,4,464,6,619,n/a,n/a,n/a,n/a,5,437,7,726,n/a,n/a,n/a,n/a
tablets,sampling masters MEGA,Shinji Hosoe,Rave,180,180,IIDX,5th style,Yes,No,,n/a,n/a,4,378,6,551,n/a,n/a,n/a,n/a,4,420,6,558,n/a,n/a,n/a,n/a
,,,,180,360,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,8,819,n/a,n/a,n/a,n/a,n/a,n/a,9,696,n/a,n/a
THE BIG VOYAGER -INFINITE PRAYER REINTERPRETATION-,L.E.D.,Toshiyuki Kakuta,Goa Trance,147,147,IIDX,5th style,Yes,No,,n/a,n/a,5,551,7,871,n/a,n/a,n/a,n/a,6,549,7,871,n/a,n/a,n/a,n/a
THE CUBE,DJ SUWAMI,Keiichi Ueno,Drum'n'Bass,178,178,IIDX,5th style,No,No,,n/a,n/a,4,374,6,644,7,682,n/a,n/a,4,374,6,645,11,1113,n/a,n/a
THE SHINING POLARIS,L.E.D. feat. Sana,"Toshiyuki Kakuta, Sanae Shintani",Epic Trance,147,147,IIDX,5th style,No,No,,n/a,n/a,5,485,7,667,8,799,n/a,n/a,6,487,8,665,n/a,n/a,n/a,n/a
Time is money,good-cool,Tatsuya Furukawa,Jazz,110,110,IIDX,5th style,Yes,No,,n/a,n/a,3,308,3,327,n/a,n/a,n/a,n/a,3,317,3,327,n/a,n/a,n/a,n/a
V,TAKA,Takayuki Ishikawa,Progressive,150,150,IIDX,5th style,No,No,,2,453,5,646,10,1272,12,1519,n/a,n/a,6,757,10,1385,11,1504,n/a,n/a
INSERTiON,NAOKI underground,Naoki Maeda,Euro Trance,110,225,DDR,5th style,Yes,No,,n/a,n/a,5,452,7,664,8,835,n/a,n/a,5,445,7,595,8,850,n/a,n/a
sync,OutPhase,"Taku Sakakibara, Takayuki Ishikawa",Trance,167,167,IIDX,5th style,No,No,,n/a,n/a,6,549,8,982,10,1204,n/a,n/a,7,796,9,1030,11,1208,n/a,n/a
in my eyes,ric,"Akira Yamaoka, Riewo",Trance,142,142,IIDX,5th style,No,No,,n/a,n/a,5,484,6,739,7,798,n/a,n/a,5,484,8,842,10,1051,n/a,n/a
Regulus,DJ.W,Jun Wakita,Instrumental,128,128,IIDX,5th style,No,No,,n/a,n/a,6,551,9,788,10,881,n/a,n/a,6,545,10,805,11,1065,n/a,n/a
VIRTUAL MIND,Brian Morris feat. Thomas,"Kazuhiro Senoo, Thomas Howard Lichtenstein, Harumi Ueko",Hiphop,128,128,DMX,5th style,Yes,No,,n/a,n/a,3,339,7,627,10,806,n/a,n/a,5,346,8,653,11,953,n/a,n/a
A New Morning,Yukihiro Fukutomi,Yukihiro Fukutomi,House,125,125.00,IIDX,6th style,Yes,Yes,,n/a,n/a,4,307,5,523,n/a,n/a,n/a,n/a,4,307,7,790,n/a,n/a,,
Beautiful Days,Fantastic Plastic Machine,"Tomoyuki Tanaka, Dan Miyakawa,Masayuki Kumahara",House,125,125.00,IIDX,6th style,Yes,Yes,,n/a,n/a,4,411,5,560,n/a,n/a,n/a,n/a,4,496,5,697,n/a,n/a,n/a,n/a
Flowtation (Original Mix),Vincent de Moor,Vincent de Moor,Trance,140,140.00,IIDX,6th style,Yes,Yes,,n/a,n/a,5,627,7,879,n/a,n/a,n/a,n/a,5,627,7,893,7,1101,n/a,n/a
Fly Awaya (Instrumental),Vincent de Moor,Vincent de Moor,Trance ,138,138.00,IIDX,6th style,Yes,Yes,,1,150,4,416,6,779,n/a,n/a,n/a,n/a,4,722,7,981,7,1133,n/a,n/a
JUST DO IT,NIKI,NIKI,Hyper Techno,136,136.00,IIDX,6th style,Yes,Yes,,n/a,n/a,4,568,6,839,n/a,n/a,n/a,n/a,4,568,7,921,n/a,n/a,n/a,n/a
Night of Fire,NIKO,"Andrea Leonardi, Newfield, Sinclaire, Maurizio DeJorio",Super Eurobeat,155,155.00,PARA,6th style,Yes,Yes,,n/a,n/a,4,428,6,780,n/a,n/a,n/a,n/a,5,427,7,704,n/a,n/a,n/a,n/a
PARAPARA PARADISE,DOMINO,"Alberto Contini, Dave Rodgers, Alessandra Gatti",Super Eurobeat,154,154.00,IDX,6th style,Yes,Yes,,n/a,n/a,5,541,7,825,n/a,n/a,,,5,583,7,887,,,,
REAL LOVE,MAZIK K.,MAZIK K,Hyper Techno,140,140.00,IIDX,6th style,Yes,Yes,,,,5,597,6,874,,,,,4,597,7,960,,,,
Comment te dire adieu,Orange Lounge,"Arnold Goland,Jacob Gold, Tomosuke Funaki, Serge Gainsbourg, Shizue Tokui",Bossa Lounge,160,160.00,IIDX,6th style,Yes,Yes,Yes,,,4,387,5,477,7,612,,,5,553,7,674,8,750,,
ROMEO&JULIET,LOLITA,"Alberto Contini, Giancarlo Pasquini, Luigi Raimondi, Sandro Oliva, Elena Gobbi",Super Eurobeat,151,151.00,PARA,6th style,Yes,Yes,,,,4,470,6,659,,,,,4,470,6,729,,,,
YESTERDAY,CHERRY,"Andrea Leonardi, Newfield, Sinclaire, Clara Moroni",Super Eurobeat,158,158.00,PARA,6th style,Yes,Yes,,1,269,4,530,6,730,,,,,5,605,6,730,,,,
"19, November",good-cool,"Tatsuya Furukawa, Miki Masuda",House,125,125.00,IIDX,6th style,,,,,,5,560,6,733,8,910,,,5,589,7,733,10,1045,,
BALLAD FOR YOU～想いの雨～,NM feat. Thomas Howard,"Naoki Maeda, Thomas Howard Lichtenstein",Ballad,65,65.00,IIDX,6th style,,,,,,4,297,5,387,7,537,,,5,375,8,546,,,,
Blueberry Stream,dj TAKA,Takayuki Ishikawa,House,138,138.00,IIDX,6th style,,,,,,5,429,7,770,8,846,,,7,598,9,817,10,868,,
Buffalo,good-cool feat. Hideo Suwa,"Tatsuya Furukawa, Hideo Suwa",Rock,108,108.00,IIDX,6th style,,,,,,5,511,7,744,10,932,11,1287,4,479,8,744,10,932,11,1260
Colors (radio edit),dj TAKA,"Takayuki Ishikawa, Chiyoko McNair",Trance,150,150.00,IIDX,6th style,,,,,,6,751,9,1011,12,1258,,,6,714,10,1099,12,1255,,
DIVE ～INTO YOUR HEART～,NAOKI feat. PAULA TERRY,"Naoki Maeda, Paula Terry",Hyper Trance Euro Beat,155,155.00,IIDX,6th style,,,,,,5,656,8,945,10,1066,,,5,623,8,998,10,1083,,
Doigts de Fatima -ファティマの掌-,Osamu Kubota featuring Sizzle Ohtaka,"Osamu Kubota, Sizzle Ohtaka",Celtic,217,217.00,IIDX,6th style,Yes,,,,,2,260,3,280,,,,,2,285,3,294,,,,
Five Regrets,Osamu Kubota,Osamu Kubota,Jazz Argentino,144,144.00,IIDX,6th style,Yes,,,,,3,278,7,573,,,,,5,332,8,564,,,,
fly through the night,Mr. T,Tomoyuki Uchida,Trance,140,140.00,IIDX,6th style,,,,,,4,452,7,688,8,863,,,4,452,8,688,10,981,,
Free Style,Shapes,Tomoyuki Uchida,Dance Pop,132,132.00,IIDX,6th style,,,,,,5,473,6,571,7,664,,,6,473,6,579,,,,
G2,Aya,Aya Sakuma,Drum'n'Bass,170,170.00,IIDX,6th style,,,,,,8,752,9,942,11,1188,,,6,665,7,830,12,1377,,
L'amour et la liberté,NAOKI underground,"Naoki Maeda, Paula Terry",Trance,140,145.00,IIDX,6th style,Yes,,,,,5,521,8,811,,,,,5,521,8,811,,,,
Linus,Lego Studio,Jun Wakita,Lounge Pop,160,176.00,IIDX,6th style,,,,,,5,489,9,789,11,1105,,,5,585,9,1007,11,1210,,
LOVE IS DREAMINESS,L.E.D.-G VS GUHROOVY fw/asuka,"Toshiyuki Kakuta, Akira Uchibori, asuka",Happy Hardcore,178,178.00,IIDX CS,6th style,Yes,,,,,5,657,6,854,,,,,6,827,7,901,,,,
M-02stp.ver1.01,Shoichiro Hirata,Shoichiro Hirata,Two Step,132,132.00,IIDX,6th style,Yes,,,,,4,524,6,573,,,,,4,458,7,768,,,,
NEMESIS,D.J.SETUP,Takayuki Ishikawa,Techno,164,164.00,IIDX,6th style,,,,,,5,524,9,839,11,973,,,7,667,10,977,12,1367,,
rottel-da-sun,sampling masters MEGA,Shinji Hosoe,Rotterdam Techno,200,200.00,IIDX,6th style,,,,,,5,417,8,692,10,936,,,5,418,8,693,,,,
Silhoette of My Mind,ReR,Hiroshi Takeyasu,Goth,121,121.00,IIDX,6th style,Yes,,,,,3,304,4,403,,,,,3,339,4,451,,,,
SOMETHING WONDEFUL,L.E.D.,"Toshiyuki Kakuta, Horiyuki Togo, Akira Nakagawa",Epic Trance,150,150.00,IIDX CS,6th style,,,,,,6,471,8,688,10,1003,,,4,458,8,690,11,1003,,
Summer Vacation (CU Mix),OutPhase ,"Taku Sakakibara, Takayuki Ishikawa",Trip Hop,135,135.00,IIDX,6th style,,,,,,6,667,9,949,,,,,9,984,12,1328,,,,
VJ ARMY,good-cool,Tatsuya Furukawa,All-Mix,135,160.00,IIDX,6th style,Yes,,,,,6,663,7,893,8,972,,,5,658,7,839,10,1138,,
Wow Wow 70's,sampling masters AYA,Ayako Saso,Disco,126,126.00,IIDX,6th style,Yes,,,,,4,381,5,433,,,,,5,462,7,644,,,,
Y31,tiger YAMATO,Reo Nagumo,Rave,168,168.00,IIDX,6th style,Yes,,,,,6,657,8,793,9,969,,,5,645,8,887,11,1075,,
こっちを向いてよ,vivi,vivi,Soul,128,128.00,IIDX,6th style,,,,,,5,438,6,667,7,703,,,6,625,9,767,11,1127,,
Frozen Ray (original mix),dj TAKA,Takayuki Ishikawa,Trance,156,156.00,KBM,6th style,,,,,,6,669,9,897,9,909,,,5,428,9,839,9,937,,
route 80s,sampling masters MEGA,Shinji Hosoe,Noisy,122,122.00,IIDX,6th style,,,,,,6,457,8,614,9,766,,,7,562,11,765,12,900,,
Take It Easy,Aya,Aya Sakuma,Instrumental,205,205.00,IIDX,6th style,,,,,,7,760,10,1229,11,1282,,,6,746,11,1356,,,,
電人イェーガーのテーマ(Theme of DENJIN J),L.E.D.,Toshiyuki Kakuta,Nu-NRG,155,155.00,IIDX CS,6th style,Yes,,,,,5,563,7,796,,,,,8,700,10,835,,,,
