Song Name,Artist Name,Artist Credit,Genre,Lowest BPM,Highest BPM,Game Origin,Version,Removed ?,Licensed ?,Cover ?,SP-Beginner,SPB NC,SP-Normal,SPN NC,SP-Hyper,SPH NC,SP-Another,SPA NC,SP-Leggendaria,SPL NC,DP-Normal,DPN NC,DP-Hyper,DPH NC,DP-Another,DPA NC,DP-Leggendaria,DPL NC
IS THIS LOVE?,Asuka.M,"Keiichi Ueno, Asuka M.",Dance Pop,115,115,IIDX,3rd style,Yes,No,,1,82,3,300,4,441,5,445,n/a,n/a,4,406,5,439,n/a,n/a,n/a,n/a
LEADING CYBER,dj TAKA,Takayuki Ishikawa,Digi-Rock,150,150,IIDX,3rd style,No,No,,3,247,4,434,6,611,7,645,n/a,n/a,4,478,6,611,6,645,n/a,n/a
Let's talk it over,SHIN Murayama feat.Argie Phine,Shinichiro Murayama,Soul,99,99,IIDX,3rd style,Yes,No,,n/a,n/a,3,292,4,377,4,436,n/a,n/a,3,411,4,466,n/a,n/a,n/a,n/a
Make Your Move,good-cool feat. JP Miles,"Tatsuya Furukawa, JP Miles",Funk,119,119,IIDX,3rd style,Yes,No,,2,305,3,326,4,432,4,522,n/a,n/a,3,333,5,442,5,522,n/a,n/a
never let you down,good-cool feat. JP Miles,"Tatsuya Furukawa, JP Miles",Garage House,124,124,IIDX,3rd style,Yes,No,,n/a,n/a,4,408,5,575,5,581,n/a,n/a,4,465,6,577,n/a,n/a,n/a,n/a
Presto,Osamu Kubota,Osamu Kubota,Piano Ambient,136,136,IIDX,3rd style,No,No,,2,173,3,273,8,498,8,508,n/a,n/a,3,274,8,508,n/a,n/a,n/a,n/a
R5,tiger YAMATO with ultrabeatbox,Reo Nagumo,Rave,180,180,IIDX,3rd style,No,No,,3,250,5,387,8,588,11,889,n/a,n/a,5,430,8,599,11,870,n/a,n/a
REINCARNATION,dj TAKA,Takayuki Ishikawa,Trance,145,145,IIDX,3rd style,No,No,,n/a,n/a,4,424,5,525,7,643,n/a,n/a,4,398,5,525,7,643,n/a,n/a
Schlagwerk,TaQ,Taku Sakakibara,Big Beat,125,125,IIDX,3rd style,No,No,,2,217,4,414,6,663,8,848,n/a,n/a,4,412,11,1043,11,1090,n/a,n/a
Sense,good-cool,Tatsuya Furukawa,Rave,130,130,IIDX,3rd style,Yes,No,,n/a,n/a,4,438,6,567,6,658,n/a,n/a,3,406,6,572,6,645,n/a,n/a
Skyscraper,good-cool,Tatsuya Furukawa,Epic House,135,135,IIDX,3rd style,No,No,,2,247,4,372,6,610,7,629,n/a,n/a,4,413,7,628,n/a,n/a,n/a,n/a
END OF THE CENTURY,No. 9,Naoki Maeda,Dance Speed,171,171,DDR,3rd style,Yes,No,,n/a,n/a,5,463,6,692,7,718,n/a,n/a,6,588,8,729,n/a,n/a,n/a,n/a
Beat Machine,CRUNKY BOY JR.,Hiroshi Watanabe,Big Beat,127,127,IIDX,3rd style,Yes,No,,n/a,n/a,4,382,5,568,n/a,n/a,n/a,n/a,4,467,5,568,n/a,n/a,n/a,n/a
Tangerine Stream,dj TAKA,Takayuki Ishikawa,Ambient,84,84,IIDX,3rd style,No,No,,1,82,2,141,3,198,n/a,n/a,n/a,n/a,2,151,3,199,n/a,n/a,n/a,n/a
THE SAFARI,Lion Musashi,Takayuki Ishikawa,World House,150,150,IIDX,3rd style,No,No,,2,183,7,618,10,900,n/a,n/a,n/a,n/a,8,624,10,900,n/a,n/a,n/a,n/a
CONGA,good-cool feat. JP Miles,"Enrique E. Garcia, Tatsuya Furukawa, JP Miles",Latin House,122,122,IIDX,4th style,Yes,Yes,Yes,n/a,n/a,4,446,6,646,6,692,n/a,n/a,4,445,7,708,n/a,n/a,n/a,n/a
FANTASY,ULTIMATE DUB,ULTIMATE DUB,Dance Express Hi-Speed,180,180,IIDX,4th style,Yes,Yes,,n/a,n/a,5,724,7,952,0,1196,n/a,n/a,5,630,7,1006,0,1282,n/a,n/a
Final Count Down(MTO CRY BABY STYLE),dj TAKA feat. Jasmine,"Joey Tempest, Takayuki Ishikawa, Jasmine, Osamu Migitera",Metallic Euro,164,164,IIDX,4th style,Yes,Yes,Yes,n/a,n/a,5,410,8,791,9,838,n/a,n/a,4,411,7,686,7,838,n/a,n/a
JIVE INTO THE NIGHT,GREEN OLIVES,GREEN OLIVES,Dance Express Hi-Speed,170,170,IIDX,4th style,Yes,Yes,,2,188,5,531,8,884,10,1120,n/a,n/a,5,530,10,1117,11,1295,n/a,n/a
NEW YORK CITY BOY,GUY THOMAS,GUY THOMAS,Dance Express Hi-Speed,169,169,IIDX,4th style,Yes,Yes,,n/a,n/a,4,369,5,643,n/a,n/a,n/a,n/a,4,300,5,643,n/a,n/a,n/a,n/a
ABSOLUTE,dj TAKA,Takayuki Ishikawa,Epic Trance,60,144,IIDX,4th style,No,No,,3,309,6,682,8,935,10,1218,11,1412,6,728,8,934,11,1338,11,1488
CHECKING YOU OUT,good-cool feat. JP Miles,"Tatsuya Furukawa, JP Miles",Hip Hop,108,216,IIDX,4th style,No,No,,2,193,7,339,9,481,11,700,n/a,n/a,7,339,11,482,11,703,n/a,n/a
Clione,kors k,Kosuke Saito,Dutch Trance,148,148,IIDX,4th style,No,No,,1,126,4,264,5,479,9,811,11,1102,3,264,4,477,9,1010,11,1203
DIAMOND JEALOUSY,AKIRA YAMAOKA,Akira Yamaoka,Cyber Rock,190,190,IIDX,4th style,Yes,No,,2,288,5,343,6,546,n/a,n/a,n/a,n/a,4,340,6,542,n/a,n/a,n/a,n/a
DXY!,TaQ,Taku Sakakibara,Techno,148,148,IIDX,4th style,No,No,,3,471,6,651,9,968,10,1158,n/a,n/a,6,781,12,1330,12,1529,n/a,n/a
empathy,TaQ,Taku Sakakibara,Drum'n'Bass,170,170,IIDX,4th style,No,No,,n/a,n/a,5,416,n/a,n/a,n/a,n/a,n/a,n/a,4,411,n/a,n/a,n/a,n/a,n/a,n/a
,,,,85,170,,,,,,n/a,n/a,n/a,n/a,7,703,8,743,n/a,n/a,n/a,n/a,7,961,n/a,n/a,n/a,n/a
era (step mix),TaQ,Taku Sakakibara,Drum'n'Bass,90,180,IIDX,4th style,No,No,,3,229,5,565,8,733,9,875,n/a,n/a,4,503,8,728,12,1226,n/a,n/a
GIRIGIRI DADDY,Shoichiro Hirata,Shoichiro Hirata,R&B,98,98,IIDX,4th style,Yes,No,,n/a,n/a,3,338,5,526,5,950,n/a,n/a,3,311,6,546,6,740,n/a,n/a
Hitch Hiker2,good-cool,Tatsuya Furukawa,Warp House,137,137,IIDX,4th style,No,No,,3,370,4,420,6,609,7,665,9,976,5,518,9,880,9,864,10,975
